Tag	en	it	de	nl	fi	br	pl	da	tr	fr	es	sl
Best Lap	Best Lap	Miglior Giro	Schnellste	Beste ronde	Paras kierrosaika	Melhor Volta	Najl Okrazenie	Bst. Omgang	En Iyi Süre	Meilleur tour	Mejor Vuelta	Najhitrejši
Bet	Bet	Scommetti	Setzen	Weddenschap	Lyö	Apostar	Postaw	Sats	Bahis	Parier	Apuesta	Stavi
Boss	Boss	Boss	Chef	Baas	Pomo	Chefe	Szef	Chef	Patron	Boss	Jefe	Šef
Brake	Brake	Frenata	Bremse	Rem	Jarrut	Frear	Hamulec	Bremse	Fren	Frein	Freno	Zavora
btn_Casino_BlackJack	Black Jack	Black Jack	Black Jack	Black Jack	Black Jack	Black Jack	Black Jack	Black Jack	Black Jack	Black Jack	Black Jack	Blackjack
btn_Casino_Home	Home	Home	Startseite	Home	Koti	Início	Strona Główna Kasyna	Hjem	Giris	Accueil	Inicio	Nazaj
btn_Casino_Roulette	Roulette	Roulette	Roulette	Roulette	Ruletti	Roleta	Ruletka	Roulette	Rulet	Roulette	Ruleta	Ruleta
btn_Casino_Slots	Fruit Machine	Slot Machine	Fruit Machine	Fruit Machine	Hedelmäpeli	Caça-níquel	Automat	Slots Maskine	Meyve Makinesi	Jackpot	Máquina de tragamonedas	Avtomat
btn_ExitGame	Exit Game	Esci dal Gioco	Spiel Beenden	Spel verlaten	Poistu	Sair do Jogo	Opuść grę	Afslut Spillet	Oyundan Çikis	Quitter jeu	Salir del juego	Izhod
btn_Header_Help	Help	Aiuto	Hilfe	Help	Apua	Ajuda	Pomoc	Hjælp	Yardim	Aide	Ayuda	Pomoč
btn_Header_Options	Options	Opzioni	Optionen	Opties	Asetukset	Opções	Opcje	Indstillinger	Ayarlar	Options	Opciones	Nastavitve
btn_Header_Quit	Quit Game	Esci dal Gioco	Spiel Beenden	Spel afsluiten	Lopeta peli	Sair do Jogo	Wyjdź z gry	Afslut Spillet	Oyundan Çikis	Quitter jeu	Salir del Juego	Izhod
btn_History_Back	Previous Season	Stagione Precedente	Vorherige Saison	Vorig seizoen	Edellinen kausi	Temporada Anterior	Poprzedni sezon	Forrige Sæson	Önceki Sezon	Saison précédente	Temporada anterior	Prejšnja sezona
btn_History_Fwd	Next Season	Prossima Stagione	Nächste Saison	Volgende seizoen	Seuraava kausi	Próxima Temporada	Następny sezon	Næste Sæson	Sonraki Sezon	Saison suivante	Próxima temporada	Naslednja sezona
btn_NavBar_Casino	Casino	Casino	Casino	Casino	Casino	Cassino	Kasyno	Kasino	Kumarhane	Casino	Casino	Igralnica
btn_NavBar_Finances	Finances	Finanze	Finanzen	Financiën	Raha-asiat	Finanças	Finanse	Finanser	Finansal Durum	Finances	Finanzas	Finance
btn_NavBar_Home	Home	Home	Startseite	Home	Koti	Início	Dom	Hjem	Giris	Accueil	Inicio	Domov
btn_NavBar_Leaderboards	Tracks & Leaderboards	Circuiti e Classifiche	Strecken & Ranglisten	Circuits & Klassementen	Radat & Johtotaulu	Pistas e Líderes	Tory i najlepsze czasy	Baner & Stillinger	Pistler & En Iyiler Listesi	Tracks & Leaderboards	Pistas y Líderes	Steze in lestvice
btn_NavBar_Play	Proceed	Procedi	Fortfahren	Doorgaan	Etene	Continuar	Kontynuuj	Fortsæt	Devam Et	Suite	Proceda	Naprej
btn_NavBar_PlayQualify	Qualify	Qualificarsi	Qualifikation	Kwalificeren	Aika-ajot	Classificar	Kwalifikacje	Kvalifikation	Siralama	Qualifications	Clasificar	Kvalifikacije
btn_NavBar_PlayRace	Race	Gara	Rennen	Race	Kisa	Corrida	Wyścig	Løb	Yaris	Course	Carrera	Dirka
btn_NavBar_Practice	Practice	Pratica	Übungsfahrt	Oefenen	Harjoitus	Treinar	Trening	Træning	Pratik	Essais	Práctica	Trening
btn_NavBar_Team	Teams	Squadre	Teams	Teams	Tallit	Equipes	Zespoły	Hold	Takimlar	Equipes	Equipos	Ekipe
btn_NewPlayer_Cancel	Cancel	Cancella	Abbrechen	Annuleer	Peruuta	Cancelar	Anuluj	Annuller	Iptal	Annuler	Cancelar	Prekliči
btn_NewPlayer_Proceed	Proceed	Procedi	Fortfahren	Doorgaan	Etene	Continuar	Konytnuuj	Fortsæt	Ilerle	Suite	Proceda	Nadaljuj
btn_News_Proceed	Proceed	Procedi	Fortfahren	Doorgaan	Etene	Continuar	Konytnuuj	Fortsæt	Ilerle	Suite	Proceda	Nadaljuj
btn_Options_Cancel	Cancel	Cancella	Abbrechen	Annuleer	Peruuta	Cancelar	Anuluj	Annuller	Iptal	Annuler	Cancelar	Preklici
btn_Options_Proceed	Apply	Applica	Bestätigen	Toepassen	Hyväksy	Aplicar	Zatwierdź	Anvend	Uygula	Appliquer	Aplicar	Uporabi
btn_TeamProfile_Back	Previous Team	Squadra Precedente	Vorheriges Team	Vorig team	Edellinen talli	Equipe Anterior	Poprzedni zespół	Forrige Hold	Önceki Takim	Equipe précédente	Equipo anterior	Prejšnja ekipa
btn_TeamProfile_EditTeam	Edit Name	Modifica Nome	Namen ändern	Naam bewerken	Muuta nimeä	Editar Nome	Edytuj nazwę	Ændre Navn	Ismi Düzenle	Editer nom	Editar Nombre	Uredi ime
btn_TeamProfile_Fwd	Next Team	Prossima Squadra	Nächstes Team	Volgend team	Seuraava talli	Próxima Equipe	Następny zespół	Næste Hold	Sonraki Takim	Equipe suivante	Equipo siguiente	Naslednja ekipa
btn_Track_Back	Previous Track	Circuito Precedente	Vorherige Strecke	Vorig circuit	Edellinen rata	Pista Anterior	Poprzedni tor	Forrige Bane	Önceki Pist	Piste précédente	Pista anterior	Prejšnja steza
btn_Track_Fwd	Next Track	Prossimo Circuito	Nächste Strecke	Volgend circuit	Seuraava rata	Próxima Pista	Następny tor	Næste Bane	Sonraki Pist	Piste suivante	Pista siguiente	Naslednja steza
Buy Now	Buy Now	Compra Ora	Jetzt kaufen	Koop nu	Osta heti	Comprar agora	Kup teraz	Køb Nu	Simdi Satin Al	Acheter	Comprar ahora	Kupi zdaj
Cancel	Cancel	Cancella	Abbrechen	Annuleer	Peruuta	Cancelar	Anuluj	Annuller	Iptal	Annuler	Cancelar	Prekliči
Car	Car	Macchina	Auto	Wagen	Auto	Carro	Samochód	Bil	Araç	Voiture	Auto	Vozilo
Career	Career	Carriera	Karriere	Carrière	Ura	Carreira	Kariera	Karriere	Kariyer	Carrière	Carrera	Kariera
Cars	Cars	Macchine	Autos	Wagens	Autot	Carros	Samochody	Biler	Araçlar	Voitures	Autos	Vozila
Championship	Championship	Titolo	Meisterschaft	Kampioenschap	Mestaruus	Campeonato	Mistrzostwo	Mesterskab	Sampiyona	Championnat	Campeonato	Prvenstvo
Championships	Championships	Titoli	Meisterschaften	Kampioenschappen	Mestaruudet	Campeonatos	Mistrzostwa	Mesterskaber	Sampiyonalar	Championnats	Campeonatos	Prvenstva
Change	Change	Cambia	Ändern	Verander	Vaihda	Alterar	Zmiana	Ændre	Degistir	Changer	Cambiar	Spremeni
Check Points	Check Points	Check Points	Check Points	Controleer punten	Checkpointit	Check Points	Check Points	Check Points	Kontrol Noktalari	Points de vérification	Check Points	Kontrolne točke
Choose Team	Choose Team	Scegli Squadra	Team wählen	Kies team	Valitse talli	Escolher Equipe	Wybierz zespół	Vælg Hold	Takim Seç	Choisir Equipe	Elija equipo	Izberi ekipo
City Apartment	City Apartment	Appartamento in Città	Stadt-Apartment	Appartement in de stad	Kaupunkiasunto	Apartamento	Mieszkania w mieście	Bylejlighed	Sehir Dairesi	 Appartement en ville	Apartamento en Ciudad 	Mestno stanovanje
Clear	Clear	Pulisci	Löschen	Wis	Tyhjennä	Limpar	Wyczyść	Ryd	Temizle	Effacer	Borrar	Počisti
CMESSAGE_BOSSDEMOTION	The boss has dropped you to driver 2! This means you will get less prize money.	Il boss ti ha declassato a seconda guida del team! Questo significa che guadagnerai premi minori.	Der Teamchef hat dich zu Fahrer 2 herabgestuft! Das bedeutet; dass du weniger Preisgeld erhältst.	De baas heeft je zopas 2de piloot gemaakt! Hierdoor krijg je minder prijzengeld.	Pomo on pudottanut sinut kakkoskuskiksi! Tämä tarkoittaa; että saat vähemmän palkintorahaa.	O chefe o colocou como segundo piloto! Isto significa prêmios menores.	Szef zespołu degraduje Cię do miana drugiego kierowcy. Oznacza to mniejsze zarobki.	Chefen har degraderet dig til 2. kører! Det betyder færre præmiepenge.	Patron sizi ikinci sürücülüge düsürdü! Bu nedenle daha az ödül ücreti alacaksiniz.	Le boss vous a relégué comme deuxième pilote ! Cela signifie que vous gagnerez moins d'argent.	El jefe lo ha bajado a conductor 2! Esto significa que usted tendrá menos dinero de premios.	Šef ekipe te je postavil na mesto drugega voznika! To pomeni manjše denarne nagrade.
CMESSAGE_BOSSPROMOTION	The boss has promoted you to driver 1! This means you will get more prize money.	Il boss ti ha promosso a prima guida del team! Questo significa che guadagnerai premi maggiori.	Der Teamchef hat dich zu Fahrer 1 befördert! Das bedeutet; dass du weniger Preisgeld erhältst.	De baas heeft je zopas 1ste piloot gemaakt! Hierdoor krijg je meer prijzengeld.	Pomo on ylentänyt sinut ykköskuskiksi! Tämä tarkoittaa; että saat enemmän palkintorahaa.	O chefe o colocou como primeiro piloto! Isto significa prêmios maiores.	Szef zespołu awansuje Cię do miana pierwszego kierowcy. Oznacza to większe zarobki.	Chefen har forfremmet dig til 1. kører! Det betyder flere præmiepenge.	Patron sizi birinci sürücülüge terfi ettirdi! Bunun sayesinde daha çok ödül ücreti alacaksiniz.	The boss has promoted you to driver 1! This means you will get more prize money.	El jefe ha promovido a conductor 1! Esto significa que usted obtendrá más ganancias.	Šef ekipe te je postavil na mesto prvega voznika! To pomeni večje denarne nagrade.
CMESSAGE_CANNOTCONNECT	Cannot connect!	Non posso connettermi!	Verbinden fehlgeschlagen!	Kan geen verbinding maken.	Ei voida yhdistää!	Não conseguiu conectar!	Nie można się połączyć!	Kan ikke forbinde!	Baglanti yapilamiyor!	Ne peut pas se connecter !	No se puede conectar!	Ni povezave!
CMESSAGE_CARNOTOWNED	You do not own this car.	Non possiedi questa macchina.	Du besitzt dieses Auto nicht.	Je bezit deze wagen niet.	Et omista tätä autoa.	Você não possui este carro.	Nie posiadasz tego samochodu.	Du ejer ikke denne bil.	Bu araç sizde yok.	Vous ne possédez pas cette voiture.	No es el propietario de este coche.	Tega vozila nimaš.
CMESSAGE_CASINO_FRIENDS	Do you want to go to the casino with your friends?	Vuoi andare al casino con gli amici?	Möchtest du mit deinen Freunden ins Casino gehen?	Wil je naar het casino gaan met je vrienden?	Haluatko mennä kasinolle ystäviesi kanssa?	Você quer ir ao cassino com seus amigos?;	Chcesz iść z przyjaciółmi do kasyna?	Vil du på kasino med dine venner?	Arkadaslarinizla kumarhaneye gitmek istiyor musunuz?	Voulez-vous aller au casino avec vos amis ?;;	¿Quieres ir al casino con sus amigos?	Želiš obiskati igralnico s prijatelji?
CMESSAGE_CASINO_FRIENDSCREW	Do you wish to go to the casino with your friends or the pit crew?	Vuoi andare al casino con gli amici o con i meccanici del team?	Möchtest du mit deinen Freunden oder mit deiner Boxencrew ins Casino gehen?	Wil je naar het casino gaan met je vrienden of met de pit crew?	Menisitkö kasinolle ystäviesi vai tallin tiimin kanssa?	Você quer ir ao cassino com seus amigos ou engenheiros?;	Chcesz iść do kasyna z przyjaciółmi czy z mechanikami?	Vil du på kasino med dine venner eller pit-besætningen?	Kumarhaneye arkadaslarinizla mi yoksa pit arkadaslarinizla mi gitmek istiyorsunuz?	Do you wish to go to the casino with your friends or the pit crew?	¿Desea ir al casino con sus amigos o la tripulación de boxes?	Želiš obiskati igralnico s prijatelji ali z ekipo v boksih?
CMESSAGE_CASINO_PITCREW	Do you want to go to the casino with the pit crew?	Vuoi andare al casino con i meccanici del team?	Möchtest du mit deiner Boxencrew ins Casino gehen?	Wil je naar het casino gaan met de pit crew?	Menetkö kasinolle tallin tiimin kanssa?	Você quer ir ao cassino com os engenheiros?;	Chcesz iść z mechanikami do kasyna?	Vil du på kasino med pit-besætningen?	Pit arkadaslarinizla kumarhaneye gitmek istiyor musunuz?	Voulez-vous aller au casino avec les membres de l'équipe ?;;	¿Quieres ir al casino con la tripulación de boxes?	Želiš obiskati igralnico z ekipo v boksih?
CMESSAGE_CHAMPIONSHIP	$item1 has won the driver championship! $item2 claim the constructors championship!	$item1 ha vinto il titolo piloti! $item2 fa suo il titolo costruttori!	$item1 hat die Fahrer-Meisterschaft gewonnen! $item2 gewinnt die Konstrukteurs-Meisterschaft!	$item1 won het wereldkampioenschap! $item2 wint het kampioenschap bij de constructeurs!	$item1 on voittanut kuljettajien maailmanmestaruuden! $item2 saa valmistajien mestaruuden!	$item1 ganhou o campeonato de pilotos! $item2 venceu o campeonato de construtores!;	$item1 wygrał mistrzostwa. $item2 wygrywa mistrzostwa w klasie konstruktorów.	$item1 har vundet kørernes mesterskab! $item2 har vundet konstruktørernes mesterskab!	$item1 sürücü sampiyonasini kazandi! $item2 yapicilar kupasini kazandi!	$item1 a gagné le championnat des pilotes! $item2 a remporté le championnat des constructeurs!;;	$item1 el conductor ha ganado el campeonato! $item2 reclamar el campeonato de constructores!	$item1 je zmagovalec sezone! $item2 osvojil prvenstvo med konstruktorji!
CMESSAGE_DELETE	Are you sure you want to delete the file '$item'?	Sei sicuro di voler cancellare il file '$item'?	Bist du sicher; dass du die Datei '$item' löschen willst?	Ben je zeker dat je het bestand '$item' wil wissen?	Oletko varma; että haluat poistaa tiedoston '$item'?	Você tem certeza que quer deletar o arquivo '$item'?;	Na pewno chcesz skasować '$item'?	Er du sikker på du vil slette filen '$item'?	$item' i silmek istediginizden emin misiniz?	Etes-vous certain de vouloir supprimer '$item'?;;	¿Estás seguro de que desea eliminar el archivo '$item'?	Si prepričan da želiš izbrisati datoteko '$item'?
CMESSAGE_DRIVEORRACE	Do you want to do a practice drive or race your friends?	Vuoi fare pratica o correre con i tuoi amici?	Möchtest du eine Übungsfahrt unternehmen oder ein Rennen gegen Freunde fahren?	Wil je wat oefenen of tegen je vrienden racen?	Haluatko harjoitteluajoa vai kilpailla ystäviesi kanssa?	Você quer treinar ou correr contra amigos?;	Chcesz zrobić jazdę próbną czy pościgać się z przyjaciółmi?	Vil du træne eller køre imod dine venner?	Sürüs alistirmasi yapmayi mi yoksa arkadaslarinizla yarismayi mi istersiniz?	Voulez-vous vous entraîner seul ou avec vos amis ?;;	¿Quieres hacer una carrera de práctica o correr con tus amigos?	Želiš trenirati ali dirkati s svojimi prijatelji?
CMESSAGE_EDITNAME	Enter a new name for this $item.	Inserisci un nuovo nome per $item.	Gib einen neuen Namen für dieses/n $item ein.	Tik een naam in voor dit $item.	Syötä uusi nimi tälle $item.	Dê o novo nome para $item.;	Wprowadź nową nazwę dla $item.	Indtast et nyt navn for $item.	$item icin isim girin.	Entrer un nouveau nom pour ce $item.;;	Introduzca un nuevo nombre para este $item.	Vnesi novo ime
CMESSAGE_FIRSTQUALIFY	Qualifying will now take place. All cars will be trying to set the fastest lap time. Qualifying is used to determine the starting order of the main race which takes place on Sunday.	Ora iniziano le qualifiche. Tutte le monoposto proveranno a fare il giro migliore. Le qualifiche servono per determinare la griglia iniziale per la gara di domenica.	Nun findet die Qualifikation statt. Alle Fahrzeuge werden versuchen; die schnellste Rundenzeit zu erzielen. Die Qualifikation bestimmt die Startaufstellung für das Rennen am Sonntag.	Nu komt de kwalificatie. Alle wagens zullen proberen om de snelste ronde te rijden. Tijdens deze kwalificatie wordt de startvolgorde van de race bepaald.	Aika-ajot alkavat nyt. Kaikki autot yrittävät nopeimpaan kierrosaikaan. Aika-ajoilla pyritään määräämään lähtöjärjestys varsinaiseen kisaan; mikä ajetaan sunnuntaina.	Qualifying will now take place. All cars will be trying to set the fastest lap time. Qualifying is used to determine the starting order of the main race which takes place on Sunday.	Teraz odbędą się kwalifikacje. Wszystkie samochody będą próbowały jak najszybciej zrobić okrążenie. Kwalifikacje przeprowadzane są po to aby ustalić kolejność w jakiej kierowcy startować będą w niedzielnych wyścigach.	Kvalifikationen vil nu begynde. Alle kørerne vil prøve at sætte den bedste omgangstid. Kvalifikationen bestemmer hvilke placeringer de enkelte kørere får i startgridden når løbet går af stablen om søndagen.	"""Simdi siralamalar yapilacaktir. Tüm araclar en hizli tur süresini belirlemeye calisacaktir. Siralama yarisinin sonucu, Pazar günkü yarista araçlarin hangi sirada oyuna baslayacagini belirlemek icin kullanilir."""	Les qualifications vont avoir lieu. Toutes les voitures vont essayer d'accomplir le tour le plus rapide. Les qualifications déterminent les places sur la grille de départ pour la course du dimanche.;;	La clasificación iniciará ahora. Todos los automóviles tratarán de establecer el tiempo de vuelta más rápida. La clasificación se utiliza para determinar el orden de inicio de la carrera principal; que tiene lugar el domingo.	Začenjajo se kvalifikacije
CMESSAGE_FIRSTRACE	It's race day! To win the race you will need to monitor your damage; fuel and tyre wear and make pit stops at the right time. Good luck!	E' il giorno della gara! Per vincere la gara tieni d'occhio il monitor dei danni; della benzina e il consumo dei pneumatici e fare i pit stop nel momento giusto. Buona Fortuna!	Es ist Renntag! Um das Rennen zu gewinnen; musst du deinen Schaden; deinen Tank und deinen Reifenverschleiß kontrollieren und rechtzeitig Boxenstops einlegen. Viel Glück!	Vandaag ga je racen! Om een kans te maken op de overwinning dien je de schade aan je wagen te beperken en op het juiste ogenblik bij te tanken en eventueel nieuwe banden te vragen. Succes!	On kisapäivä! Voittaaksesi kisan sinun tulisi tarkkailla vahinkomittaria; polttoainemittaria ja renkaiden kulumista ja tehdä varikkopysähdyksiä oikeaan aikaan. Onnea matkaan!	It's race day! To win the race you will need to monitor your damage; fuel and tyre wear and make pit stops at the right time. Good luck!	Już dzień wyścigów! By wygrać musisz sprawdzać uszkodzenia wozu a także nie zapomniać o uzupełnianiu paliwa i wymianie opon w pit stopie. Powodzenia!	Det er løbsdag! For at vinde løbet skal du holde øje med skader benzintanken dækslitage og samtidigt foretage pit stops på de rette tidspunkter. Held og lykke!	Yaris günü! Yarisi kazanmak icin hasar miktarini; yakiti ve lastikleri sürekli takip etmeli ve pit stoplarda durmayi ihmal etmemelisiniz. Iyi sanslar!	C'est le jour de la course! Pour gagner vous devez être attentif à vos dégâts;votre essence vos pneus et vous arrêtez au stand au bon moment.	Es día de la carrera! Para ganar la carrera tendrá que monitorear sus daños; combustible y el desgaste de los neumáticos y hacer paradas en boxes en el momento adecuado. Buena suerte!	Dan dirke! Da bi zmagal moraš paziti na poškodbe dirkalnika porabo goriva in obrabo gum ter pravi cas zaviti v bokse. Vso sreco!
CMESSAGE_FRIENDINVITE	Some friends want to meet up with you today. Do you accept the invitation?	Alcuni amici ti invitano per passare del tempo con loro oggi. Accetti l'invito?	Einige Freunde möchten sich heute mit dir treffen. Nimmst du die Einladung an?	Enkele van je vrienden willen met je gaan stappen. Ga je mee?	Eräät ystäväsi haluaisivat tavata kanssasi tänään. Hyväksytkö pyynnön?	Alguns amigos querem se encontrar com você hoje. Você aceita o convite?;	Kilku przyjaciół chce się dzisiaj z Tobą spotkać. Przyjmujesz zaproszenie?	Nogle venner vil mødes i dag. Accepterer du invitationen?	Bazi arkadaslariniz bugün sizinle bulusmak istiyor. Davetlerini kabul ediyor musunuz?	Des amis vous invitent à sortir ce soir. Acceptez-vous l'invitation ?;;	Unos amigos quieren reunirse con usted el día de hoy. ¿Acepta la invitación?	Prijatelji bi se radi dobili s tabo. Sprejmeš povabilo?
CMESSAGE_GAMEOVER	Your career has ended. Thank you for playing New Star GP.	La tua carriera è finita. Grazie per aver giocato a New Star GP.	Deine Karriere ist vorbei. Danke; dass du New Star Grand Prix gespielt hast.	Je carrière is afgelopen. Bedankt om New Star GP te spelen.	Urasi on loppunut. Kiitos New Star GP'n pelaamisesta.	Sua carreira terminou. Obrigado por jogar New Star GP.;	Twoja kariera dobiegła końca. Dziękujemy za grę w New Star GP.	Din karriere er slut. Tak for at have spillet New Star GP.	Kariyeriniz sona erdi. New Star Grand Prix'i oynadiginiz icin tesekkür ederiz.	Votre carrière est terminée. Merci d'avoir joué à New Star GP.;;	Su carrera ha terminado. Gracias por jugar New Star GP.	Tvoja kariera se je zaključila. Hvala za igranje New Star GP.
CMESSAGE_HEADLINE_RACEWINNER_1	$item1 is simply superb in $item2!	$item1 è stato semplicemente superbo in $item2!	$item1 überragt in $item2!	$item1 is simpelweg subliem in $item2!	$item1 on yksinkertaisesti erinomainen $item2ssa!	$item1 foi simplesmente maravilhoso em $item2!;	$item1 jest po prostu świetny w $item2!	$item1 er simpelthen suveræn i $item2!	"""$item1, $item2de harikaydi!"""	$item1 est simplement superbe dans $item2!;;	$item1 es simplemente excelente en $item2!	$item1 preprosto odličen na dirkališču $item2!
CMESSAGE_HEADLINE_RACEWINNER_10	Ice cool $item1 claims prize in $item2!	$item1 a sangue freddo si aggiudica il Gran Premio in $item2!	Eiskalter $item1 kontrolliert den Großen Preis von $item2!	Koelbloedige $item1 claimt overwinning in $item2!	Jääkylmä $item1 saa palkinnon $item2ssa!	$item1 foi o grande vencedor de $item2!;	Świetna jazda $item1 daje mu zwycięstwo w $item2!	Iskolde $item1 vinder i $item2!	$item1 $item2deki ödülü aldi!	 Ice cool $item1 remporte le prix à $item2!;;	Frio como el hielo $item1 gana premio en $item2!	Hladnokrvni $item1 pobral prvo nagrado na dirkališču $item2!
CMESSAGE_HEADLINE_RACEWINNER_2	$item1 romps home to seal victory in $item2!	$item1 vince facilmente e si aggiudica la vittoria in $item2!	$item1 überzeugt auf ganzer Linie und sichert sich den Sieg in $item2!	$item1 grijpt de macht in $item2!	$item1 romps home to seal victory in $item2!	$item1 volta para casa com a vitória em $item2!;	$item1 wygrywa w $item2!	$item1 vinder nemt i $item2!	"""$item1 , $item2deki galibiyetini kutalamk için solugu ülkesinde aldi!"""	$item1 romps home pour voler la victoire à $item2!;;	$item1 gana fácil en casa para sellar la victoria en $item2!	$item1 prvi v cilju na dirkališču $item2!
CMESSAGE_HEADLINE_RACEWINNER_3	Outstanding $item1 claims victory in $item2!	Tutti in piedi per $item1 che vince in $item2!	Fantastischer $item1 gewinnt in $item2!	Ijzersterke $item1 wint de Grote Prijs van $item2!	Uskomaton $item1 voittaa $item2ssa!	Excepcional $item1 venceu em $item2!;	Niewiarygodny $item1 zwycięża w $item2!	Fantastiske $Item1 vinder løbet i $item2!	"""Muhtesem $item1, $item2de harika bir basari elde etti!"""	Impressionnant $item1 remporte la victoire à $item2!;;	Impresionante $Item1 reclama la victoria en $item2!	Izjemni $item1 zmagal na dirkališču $item2!
CMESSAGE_HEADLINE_RACEWINNER_4	$item1 wins the $item2 GP in style!	$item1 vince nel Gran Premio di $item2 con stile!	$item1 gewinnt den Großen Preis von $item2 in souveräner Manier!	$item1 wint stijlvol $item2 !	$item1 voittaa kisan $item2 GP tyylillä!	$item1 ganhou o GP de $item2 com estilo!;	$item1 wygrywa $item2 GP w świetnym stylu!	$item1 vinder $item2 med stil!	"""$item1, $item2 Grand Prix'ini basariyla kazandi!"""	$item1 gagne le GP de $item2 avec style!;;	$item1 gana el Gran Premio de $item2 con estilo!	$item1 zmagal na GP $item2 v vrhunskem slogu!
CMESSAGE_HEADLINE_RACEWINNER_5	$item1 storms it in $item2!	$item1 si scatena in $item2!	$item1 rauscht davon in $item2!	$item1 stormt naar overwinning in $item2!	$item1 ryntää voittoon $item2ssa!	$item1 detenou em $item2!	$item1 deklasuje wszystkich w $item2!	$item1 smadrer alle i $item2!	"""$item1, $item2de rüzgar gibiydi!"""	$item1 balaie tout sur son passage à $item2!	$item1 tormentas en $item2!	$item1 pridrvel do zmage na dirkališču $item2! 
CMESSAGE_HEADLINE_RACEWINNER_6	$item1 shows his class in $item2!	$item1 mostra la sua classe in $item2!	$item1 zeigt seine Klasse in $item2!	$item1 toont zijn klasse in $item2!	$item1 näyttää mihin luokkaan hän kuuluu $item2ssa!	$item1 mostrou sua classe em $item2!	$item1 pokazuje klasę w $item2!	$item1 viser klassen i $item2!	"""$item1, $item2de hünerlerini sergiledi!"""	$item1 étale sa classe à $item2!	$item1 muestra su clase en $item2!	$item1 pokazal svoje mojstrstvo na dirkališču $item2!
CMESSAGE_HEADLINE_RACEWINNER_7	$item1 is just too good for the rest in $item2!	$item1 è semplicemente il migliore in $item2!	$item1 ist einfach zu gut für den Rest in $item2!	Geen houden aan $item1 in $item2!	$item1 on vain liian hyvä muille $item2ssa!	$item1 foi bom demais para os outros em $item2!	$item1 lepszy niż inni w $item2!	$item1 er for god til de andre i $item2!	"""$item1, $item2dekilerden çok daha iyiydi"""	$item1 est simplement trop bon pour le reste à $item2!	$item1 es demasiado bueno para el resto en $item2!	$item1 preprosto najboljši na dirkališču $item2!
CMESSAGE_HEADLINE_RACEWINNER_8	Driving masterclass by $item1 in $item2!	Guida maestosa di $item1 in $item2!	Fahrerische Meisterleistung von $item1 in $item2!	$item1 is klasse apart in $item2!	Meastarillista ajoa ajajalta $item1 $item2ssa!	Pilotagem de classe de $item1 em $item2!	$item1 pojechał cudownie w $item2!	Mesterlig opvisning af $item1 i $item2!	"""$item1, $item2de sürüs dersi verdi!"""	Un pilotage exceptionnel de $item1 à $item2!	Clase magistral de conducción por $item1 en $item2!	$item1 uprizoril šolo mojstrke vožnje na dirkališču $item2!
